ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
978-0-9918128-0-6,Robust asymmetric workforce,Luke Jones,Non-Fiction,1985,7,2022-10-05,Reserved,True
978-0-7717-9567-1,Programmable full-range productivity,Gerald Warren,Children,1954,10,2020-02-25,Checked Out,True
978-0-7744-4156-8,Multi-lateral local forecast,Jodie Norman,Children,1953,5,2019-02-22,Checked Out,True
978-1-81328-180-0,Cross-platform contextually-based pricing structure,Justin Parsons,Young Adult,2013,2,2018-07-06,Missing,True
978-1-7352640-7-3,Customer-focused tangible success,Aimee Murray-Short,Fiction,2021,4,2016-11-10,Missing,True
978-1-5274-0456-4,Function-based fresh-thinking focus group,Mr Joshua Parkinson,Reference,2000,5,2021-07-14,Checked Out,True
978-0-651-29472-0,Re-engineered optimal capacity,Ms Alison Patterson,Reference,1983,5,2024-10-23,Available,True
978-1-113-91222-0,Organic uniform Internet solution,Melanie Fisher,Non-Fiction,2006,5,2023-07-28,Reserved,True
978-0-18-742231-4,Realigned full-range middleware,Tracey Harding,Reference,1954,7,2023-05-08,Missing,True
978-1-57034-097-0,Decentralized upward-trending monitoring,Wendy Mason,Fiction,1997,3,2019-06-24,Missing,True
978-1-274-81873-7,Customizable mission-critical success,Charles Macdonald,Non-Fiction,1975,8,2020-07-29,Reserved,True
978-0-8468-5192-9,Open-architected asymmetric matrix,Brett Read-Holmes,Young Adult,2024,3,2023-12-02,Checked Out,True
978-0-7429-0039-4,Decentralized hybrid capability,Diane Lewis,Reference,1965,3,2016-11-12,Damaged,True
978-0-7040-4787-7,Focused methodical framework,Peter Patel,Reference,1998,4,2016-12-18,Missing,True
978-0-207-39701-1,Operative systematic emulation,Kirsty Clarke,Fiction,1985,0,2018-12-09,Damaged,True
978-0-7719-6767-2,User-friendly eco-centric architecture,Reece Cooper,Non-Fiction,2008,3,2024-01-27,Available,True
978-1-85888-444-8,Synchronized client-driven forecast,Mrs Abigail Hunter,Children,1961,5,2023-04-02,Available,True
978-1-5386-8451-1,Enhanced intangible groupware,Mandy Norman,Young Adult,1977,2,2020-01-01,Reserved,True
978-0-15-525417-6,Quality-focused didactic contingency,Hannah Hayes,Fiction,1990,1,2025-04-22,Available,True
978-1-85063-458-4,Synergistic global instruction set,Leigh Wright-Bell,Non-Fiction,2002,5,2016-06-01,Missing,True
978-1-68826-342-0,Innovative contextually-based database,Ms Jasmine Gardiner,Non-Fiction,2018,7,2022-03-04,Missing,True
978-0-525-13627-9,Enhanced fresh-thinking monitoring,Dr Darren O'Sullivan,Young Adult,1976,3,2016-10-07,Reserved,True
9780848742614,Monitored responsive toolset,Joan Clark-Thompson,Young Adult,2009,4,2023-06-19,Damaged,True
978-0-7573-3200-5,Operative bandwidth-monitored budgetary management,Mr Charlie Fisher,Children,2000,6,2019-03-28,Available,True
978-1-4802-3352-2,Front-line foreground model,Malcolm Richardson,Non-Fiction,1977,2,2021-10-04,Damaged,True
978-0-8460-7491-5,Object-based value-added pricing structure,Benjamin Saunders,Non-Fiction,2023,9,2019-01-07,Damaged,True
978-0-9604751-0-0,Implemented contextually-based flexibility,Mr Shaun Hunt,Children,1964,5,2018-05-19,Missing,True
978-0-335-71768-2,Universal high-level core,Barry Wright,Non-Fiction,1956,9,2023-09-23,Reserved,True
978-1-77279-728-2,Assimilated regional challenge,Bernard Morris,Fiction,1956,1,2016-07-08,Available,True
978-0-464-08798-4,Cross-platform methodical encoding,Mrs Kathryn Stewart,Non-Fiction,2012,6,2021-01-12,Available,True
978-1-245-21642-5,Streamlined 5thgeneration solution,Victoria Newman,Young Adult,2018,1,2016-04-15,Missing,True
978-1-4852-1121-1,Team-oriented high-level orchestration,Kirsty Smith-Smith,Children,1964,6,2016-11-08,Reserved,True
978-1-276-90177-2,Assimilated homogeneous process improvement,Richard Marshall,Reference,1983,9,2019-01-30,Damaged,True
978-0-7019-3639-6,Visionary user-facing pricing structure,Leigh Rowley,Young Adult,2022,10,2019-03-06,Damaged,True
978-1-364-62969-4,Centralized grid-enabled function,Ronald Gardner-Wright,Non-Fiction,2016,3,2023-08-10,Checked Out,True
978-1-71258-404-0,Proactive intangible workforce,Tina Page,Fiction,2004,1,2018-04-04,Reserved,True
9781354600795,Persevering tertiary extranet,Ellie Taylor,Children,1977,5,2020-06-30,Damaged,True
978-1-64492-559-1,Focused dynamic extranet,Tony Palmer,Children,1984,7,2018-12-23,Missing,True
978-0-02-209764-6,Networked high-level customer loyalty,Carolyn Wood,Reference,1976,5,2024-10-09,Available,True
978-1-962742-33-7,Innovative stable capability,Mr Abdul Marshall,Children,1973,6,2018-08-29,Available,True
978-1-03-752696-1,Profound holistic matrices,Ms Hilary Collins,Non-Fiction,2009,0,2022-03-19,Damaged,True
978-0-946893-32-4,Polarized hybrid infrastructure,Mr Roy Schofield,Reference,2010,5,2022-01-04,Damaged,True
978-0-17-225125-7,Polarized fault-tolerant model,Melanie Gill,Young Adult,1957,7,2017-07-31,Available,True
978-0-639-81808-5,Managed grid-enabled flexibility,Christine Griffin,Reference,1965,2,2015-10-22,Missing,True
978-1-00-789493-9,Mandatory zero administration ability,Mrs June Price,Non-Fiction,1980,6,2025-03-08,Available,True
978-0-7511-3486-5,Mandatory local parallelism,Mrs Linda Smith,Non-Fiction,2022,1,2016-05-22,Checked Out,True
978-1-01-732815-8,Seamless system-worthy product,Miss Kelly Singh,Non-Fiction,2012,7,2017-03-18,Reserved,True
978-1-4009-4043-1,Organized neutral attitude,Dr Joshua Clark,Children,2016,4,2019-07-12,Available,True
978-0-606-34051-9,Exclusive 5thgeneration analyzer,Dr Lucy Barnes,Non-Fiction,1981,7,2019-07-09,Damaged,True
978-1-918233-16-2,Pre-emptive bottom-line instruction set,Abbie Shaw,Reference,2007,0,2019-12-08,Reserved,True
978-1-5481-4423-4,Face-to-face grid-enabled collaboration,Adam Saunders,Reference,1951,7,2016-04-09,Missing,True
978-0-474-68792-1,Proactive attitude-oriented neural-net,Miss Deborah Wilson,Fiction,1955,10,2016-04-29,Damaged,True
978-1-9780-8784-2,Cross-platform logistical migration,Dr Rosie Brooks,Children,1965,0,2018-01-08,Damaged,True
978-1-939499-57-8,Enterprise-wide 4thgeneration capacity,Clare Lawrence,Children,1955,7,2017-06-02,Available,True
978-1-81146-813-5,Public-key optimizing success,Lesley Ford,Young Adult,2017,3,2021-01-07,Missing,True
978-1-923524-93-4,Pre-emptive value-added website,Gemma Walker,Children,2006,8,2016-10-11,Reserved,True
978-0-85103-016-6,Grass-roots 6thgeneration support,Laura Wilson-Osborne,Reference,1975,0,2020-06-19,Checked Out,True
978-0-11-880690-9,Grass-roots dynamic middleware,Simon Dean,Children,2016,5,2022-04-02,Damaged,True
978-0-9912062-4-7,Horizontal asymmetric moderator,Mrs Janet King,Non-Fiction,2005,5,2019-12-14,Reserved,True
978-1-150-99575-0,Networked multi-tasking array,Josephine Wilson,Fiction,1987,4,2018-01-02,Missing,True
978-0-293-14939-6,Devolved user-facing model,Martin Marsh,Non-Fiction,2011,2,2017-11-11,Missing,True
978-0-472-62471-3,Right-sized well-modulated synergy,Jemma Green,Fiction,1951,3,2018-12-18,Available,True
9781730872402,Focused hybrid forecast,Michael Brown,Young Adult,2020,8,2022-09-01,Checked Out,True
978-1-06-467651-6,Pre-emptive client-server matrices,Frederick Austin-Sinclair,Young Adult,1982,3,2017-12-24,Available,True
978-0-365-56441-6,Fundamental optimizing customer loyalty,Lauren Ford,Young Adult,2013,8,2023-12-31,Reserved,True
9780824030926,Devolved systematic middleware,Denise Lawson,Reference,2014,4,2018-07-03,Reserved,True
978-1-66309-066-9,Re-engineered foreground neural-net,Dawn Griffin,Children,1955,8,2018-06-29,Missing,True
978-1-4465-1571-6,Pre-emptive stable orchestration,Rita Barnes,Reference,1990,9,2016-04-14,Checked Out,True
978-0-492-84455-9,Versatile 6thgeneration leverage,Josephine Bradley-Summers,Fiction,1975,2,2022-07-26,Available,True
978-0-379-44000-3,Cloned 24hour groupware,Dr Jenna Anderson,Young Adult,1997,6,2018-01-10,Available,True
9781964422169,Reduced incremental software,Leon Coles,Children,1969,6,2022-09-26,Missing,True
978-1-9793-4859-1,Optional content-based hierarchy,Philip Clarke,Reference,1956,1,2024-09-10,Reserved,True
978-0-526-05794-8,Reactive asymmetric functionalities,Sam Hill,Non-Fiction,1976,10,2025-09-26,Available,True
978-0-544-75124-8,Multi-layered mobile encoding,Declan Pearce,Non-Fiction,2001,6,2021-03-12,Checked Out,True
978-0-203-28707-1,Programmable zero-defect orchestration,Dr Joshua Jones,Non-Fiction,1952,9,2023-01-10,Checked Out,True
978-0-250-91557-6,Focused cohesive conglomeration,Lucy Smith,Non-Fiction,1995,6,2017-02-17,Reserved,True
9780754269885,Vision-oriented demand-driven concept,Cheryl Allen,Children,1950,3,2022-02-04,Available,True
978-1-234-83906-2,Configurable tertiary model,Maria Stevenson-Campbell,Young Adult,1965,5,2017-03-21,Reserved,True
978-1-302-39484-4,Polarized tangible intranet,Wendy North,Fiction,1973,10,2018-02-13,Damaged,True
978-0-13-701832-1,Pre-emptive empowering access,Mr Kevin Williams,Non-Fiction,1970,0,2018-09-03,Available,True
978-1-341-88157-2,Streamlined interactive service-desk,Dr Luke Patel,Non-Fiction,1995,3,2016-05-23,Available,True
978-1-4598-2194-1,Customizable high-level artificial intelligence,Dennis Carter,Reference,1991,0,2018-03-30,Available,True
978-0-89085-403-7,Centralized content-based circuit,Ms Sheila Stanley,Children,1966,3,2021-09-07,Available,True
978-0-9720560-0-7,Sharable intangible strategy,Dr Brian Metcalfe,Reference,1967,0,2017-07-08,Damaged,True
978-1-9739-6707-1,Cross-group 6thgeneration info-mediaries,Mark Cross-Reid,Reference,1966,0,2016-08-21,Reserved,True
978-0-322-32354-4,Face-to-face dedicated solution,Callum Newton,Reference,1965,0,2023-12-20,Missing,True
978-1-02-674121-4,Object-based directional migration,Hayley McLean,Non-Fiction,1957,5,2024-11-12,Reserved,True
978-0-397-24843-8,Re-engineered interactive success,Bruce Edwards-Anderson,Reference,1986,7,2021-09-01,Checked Out,True
9781939105158,Self-enabling 4thgeneration support,Joshua Johnson,Reference,1995,7,2016-05-19,Damaged,True
978-1-5359-8515-4,Stand-alone dedicated product,Mr Robert Edwards,Reference,2007,3,2017-06-28,Missing,True
978-1-342-49501-3,Intuitive composite structure,Maurice Kent-Brown,Reference,1969,4,2023-01-21,Reserved,True
9781861577993,Extended systematic contingency,Nicole Walters-Riley,Children,1980,8,2022-08-31,Available,True
978-1-389-99680-1,Customer-focused contextually-based strategy,Dr Ruth Atkinson,Children,1960,8,2017-09-16,Checked Out,True
978-0-547-64249-9,Future-proofed fault-tolerant circuit,Leonard Carpenter-Henderson,Young Adult,1968,10,2024-10-04,Checked Out,True
978-0-551-26691-9,Polarized secondary monitoring,Beverley Fraser,Reference,1967,6,2020-05-15,Reserved,True
978-0-369-08660-0,Down-sized clear-thinking parallelism,Ms Deborah Craig,Non-Fiction,1995,1,2024-03-26,Missing,True
978-0-404-03417-7,Operative 24hour secured line,Mohammad Jones,Children,1973,5,2017-10-15,Reserved,True
978-1-79386-404-8,Persistent 4thgeneration flexibility,Mr Daniel Knowles,Young Adult,2003,8,2025-03-27,Missing,True
978-1-4786-3594-9,Fully-configurable 24/7 standardization,Ian Coles-Clarke,Fiction,1993,5,2021-10-29,Missing,True
978-1-354-31870-6,Stand-alone secondary hardware,Mr Dylan Parry,Fiction,1981,0,2017-05-28,Missing,True
978-0-625-93224-5,Advanced tertiary time-frame,Dr Elliott Brown,Fiction,2023,6,2022-04-09,Missing,True
978-0-8341-6232-7,Inverse secondary system engine,Kathryn Knight,Children,1988,4,2018-11-12,Missing,True
978-0-913322-76-5,Ameliorated demand-driven parallelism,Helen Moore,Young Adult,1999,1,2025-08-27,Reserved,True
978-1-80643-855-6,User-centric asymmetric challenge,Gregory O'Sullivan,Fiction,1987,8,2019-10-27,Missing,True
978-0-8058-3097-2,Object-based optimal algorithm,Dr Roy Thorpe,Children,2024,1,2018-12-11,Reserved,True
978-1-318-85937-5,Persevering high-level encoding,Melanie Wright,Fiction,2015,9,2022-09-22,Checked Out,True
9781332433506,Object-based object-oriented system engine,Jacob Taylor,Children,1986,6,2018-03-20,Reserved,True
978-0-547-12780-4,Object-based homogeneous extranet,Dr Martyn Hargreaves,Fiction,1980,5,2022-03-16,Available,True
9781868926855,Universal foreground budgetary management,Marilyn Perkins,Young Adult,2002,9,2016-04-23,Reserved,True
978-0-8360-6370-7,Total solution-oriented superstructure,Miss Natasha Evans,Children,1995,9,2022-11-22,Checked Out,True
978-1-4142-3861-6,Integrated foreground adapter,Carl Harvey,Children,1992,8,2022-03-01,Missing,True
978-0-581-40101-4,Synchronized bottom-line orchestration,Debra Howells,Fiction,1957,8,2018-10-23,Checked Out,True
978-0-8164-5808-0,Customer-focused 5thgeneration productivity,Joe Harrison-Walker,Non-Fiction,2007,7,2019-05-08,Reserved,True
978-0-634-45565-0,Reactive cohesive frame,Gavin Randall,Children,2007,7,2022-09-08,Damaged,True
9781597220507,Decentralized systemic artificial intelligence,Mrs Claire Turner,Young Adult,1984,5,2020-01-24,Missing,True
978-1-77761-920-6,De-engineered optimal Local Area Network,Ms Beverley Williams,Non-Fiction,1997,4,2019-04-04,Available,True
978-1-943193-66-0,Organic background array,Ms Eleanor Howell,Non-Fiction,1977,8,2017-07-28,Damaged,True
978-1-291-87937-7,Mandatory real-time throughput,Aimee Price,Non-Fiction,1986,9,2017-02-03,Checked Out,True
978-0-315-86207-4,Compatible demand-driven moderator,Malcolm Jones,Young Adult,2010,9,2020-06-11,Available,True
978-1-07-945393-5,Grass-roots attitude-oriented benchmark,Gillian Shaw,Fiction,2013,0,2018-10-13,Reserved,True
978-0-85069-672-1,Up-sized 24hour infrastructure,Dr Bernard Brookes,Children,1996,9,2022-11-25,Reserved,True
9780375016059,Multi-lateral mobile synergy,Olivia Barton,Reference,1989,9,2020-11-12,Damaged,True
9780237287351,Pre-emptive impactful model,Dr Hayley Hayes,Young Adult,1983,1,2019-12-01,Damaged,True
978-0-9547177-4-2,Upgradable bandwidth-monitored interface,Phillip Jones,Young Adult,1966,3,2022-09-03,Missing,True
978-0-516-00804-2,Horizontal demand-driven hierarchy,Max Wilson-Ward,Children,2003,10,2025-10-10,Damaged,True
978-0-06-707603-3,Universal systemic firmware,Dr Jamie Brown,Fiction,1969,5,2022-05-02,Reserved,True
978-0-415-27421-0,Digitized national capability,Caroline Andrews,Reference,1978,5,2021-11-16,Available,True
978-0-8018-0875-3,Visionary content-based knowledgebase,Michelle Shaw-Coleman,Non-Fiction,2007,6,2019-12-18,Damaged,True
978-0-674-58618-5,Re-contextualized scalable protocol,Emily Davey-Cooper,Children,1952,6,2024-06-03,Reserved,True
978-1-82028-253-1,Vision-oriented web-enabled interface,Miss Sharon Nash,Fiction,1969,2,2018-12-02,Damaged,True
978-0-302-51571-6,Object-based asymmetric portal,Miss Yvonne Murphy,Non-Fiction,2011,6,2017-09-05,Reserved,True
978-1-4185-0711-4,Expanded motivating customer loyalty,Dr Joshua Smith,Non-Fiction,1958,4,2018-04-02,Reserved,True
978-1-65848-854-9,Visionary tertiary superstructure,Dennis Carpenter,Fiction,1975,4,2020-01-15,Available,True
978-1-86737-021-5,Triple-buffered radical matrices,Mrs Marilyn Mason,Young Adult,1956,0,2017-10-15,Reserved,True
9781172255146,Monitored neutral workforce,Roger Brown,Children,1996,5,2021-03-18,Missing,True
9780010263909,Advanced static benchmark,Iain Holland,Non-Fiction,1987,5,2022-12-22,Reserved,True
978-0-403-90607-9,Switchable methodical architecture,Dale Noble,Reference,1993,5,2024-07-30,Damaged,True
978-0-345-05882-9,Synchronized 6thgeneration concept,Hayley Walker-Davies,Non-Fiction,1965,6,2021-09-05,Missing,True
978-1-4225-7798-1,Face-to-face 24/7 function,Mr Lee Robertson,Non-Fiction,1976,5,2017-10-31,Damaged,True
978-0-321-30193-2,Reactive zero-defect info-mediaries,Douglas Russell,Young Adult,2003,8,2017-02-24,Available,True
978-0-356-11943-4,Open-source bandwidth-monitored forecast,Ben McCarthy,Reference,1995,0,2021-08-25,Reserved,True
978-0-553-18444-0,Triple-buffered human-resource policy,Leanne Lewis,Reference,1961,0,2017-10-16,Missing,True
978-0-471-68801-3,Phased logistical array,Teresa Pratt,Young Adult,1956,4,2025-09-06,Checked Out,True
978-1-4065-0023-3,Multi-layered impactful success,Patricia Burns-Hancock,Fiction,2010,1,2020-04-26,Reserved,True
978-0-10-543513-6,Organic bandwidth-monitored middleware,Carolyn Smith,Children,2010,8,2024-11-26,Reserved,True
978-0-291-08077-6,Quality-focused holistic secured line,Shaun John,Non-Fiction,1961,10,2025-05-24,Missing,True
978-0-89217-696-0,Centralized discrete monitoring,Mr Callum Hughes,Young Adult,2024,3,2024-02-06,Checked Out,True
978-0-646-16150-1,Cloned national installation,Judith Brown,Young Adult,2021,6,2019-01-20,Available,True
978-0-7861-1407-8,Optional local adapter,Kathleen Schofield,Reference,1981,1,2020-06-07,Damaged,True
978-0-637-46462-8,Devolved stable hardware,Sian Williams,Fiction,2017,9,2020-05-10,Missing,True
978-0-9893835-9-2,Focused 24/7 archive,Miss Kim Williams,Reference,2019,5,2020-03-13,Available,True
978-1-75117-144-7,Team-oriented 4thgeneration core,Louise Wilkinson-Murphy,Fiction,1954,5,2024-04-03,Reserved,True
978-1-311-01766-6,Adaptive contextually-based intranet,Jordan Richardson,Reference,1975,9,2025-10-02,Available,True
978-1-4098-5691-7,Adaptive discrete parallelism,Leanne Moore,Fiction,1963,5,2016-05-12,Checked Out,True
978-0-453-93174-8,Up-sized clear-thinking circuit,Alexandra Evans,Non-Fiction,1955,2,2021-08-11,Damaged,True
978-0-579-13678-2,Streamlined radical Graphical User Interface,Melissa Jenkins,Children,1956,0,2025-08-16,Missing,True
9781396824814,Proactive web-enabled productivity,Mr Stewart Hughes,Non-Fiction,1980,3,2017-12-17,Missing,True
978-1-82508-434-5,Synchronized contextually-based array,Mr Jason Green,Young Adult,1981,7,2021-03-31,Missing,True
978-0-914547-05-1,Horizontal dynamic database,Joanne Dyer,Fiction,1973,0,2021-09-04,Checked Out,True
9781324439226,Centralized maximized migration,Danny Griffiths,Reference,2021,10,2016-01-11,Damaged,True
978-1-08-167233-1,Open-architected optimal encryption,Mrs Gemma Hall,Reference,1971,10,2020-11-29,Available,True
978-1-343-56794-8,Compatible grid-enabled forecast,Paul Ball,Reference,2018,9,2018-10-19,Checked Out,True
978-1-4556-3780-5,Decentralized multi-state matrix,Maureen Archer,Reference,1988,4,2023-11-25,Damaged,True
978-0-634-09612-9,Stand-alone optimizing orchestration,Paige Roberts,Reference,1962,6,2022-08-15,Damaged,True
